    energy(eV)      sigma_a(b)
    6.944228e+02    1.999099e-03
    7.500270e+02    1.922107e-03
    8.331434e+02    1.822388e-03
    9.062031e+02    1.747135e-03
    9.856695e+02    1.674397e-03
    1.072104e+03    1.604265e-03
    1.157951e+03    1.542689e-03
    1.277262e+03    1.466822e-03
    1.369940e+03    1.416100e-03
    1.500583e+03    1.351558e-03
    1.666793e+03    1.280804e-03
    1.800346e+03    1.231681e-03
    1.958221e+03    1.179964e-03
    2.144860e+03    1.125905e-03
    2.349403e+03    1.073992e-03
    2.519875e+03    1.036173e-03
    2.760046e+03    9.883620e-04
    3.044432e+03    9.393960e-04
    3.358122e+03    8.922290e-04
    3.627193e+03    8.571590e-04
    3.917632e+03    8.232820e-04
    4.291234e+03    7.845040e-04
    4.667539e+03    7.503360e-04
    5.112405e+03    7.150540e-04
    5.560720e+03    6.834340e-04
    6.133679e+03    6.483610e-04
    6.625144e+03    6.218130e-04
    7.155637e+03    5.964150e-04
    7.838029e+03    5.671570e-04
    8.585076e+03    5.392810e-04
    9.403785e+03    5.126470e-04
    1.008612e+04    4.929560e-04
    1.201620e+04    4.459890e-04
    1.411716e+04    4.062890e-04
    1.612640e+04    3.755110e-04
    1.816622e+04    3.495350e-04
    2.013478e+04    3.281650e-04
    2.220940e+04    3.087760e-04
    2.432739e+04    2.915430e-04
    2.646070e+04    2.762670e-04
    2.838068e+04    2.639490e-04
    3.022675e+04    2.532790e-04
    3.526295e+04    2.283990e-04
    4.028216e+04    2.083760e-04
    4.537521e+04    1.915910e-04
    5.035271e+04    1.777290e-04
    5.538798e+04    1.657130e-04
    6.066703e+04    1.548420e-04
    6.545852e+04    1.461510e-04
    7.069995e+04    1.377720e-04
    7.582992e+04    1.304810e-04
    8.112866e+04    1.237550e-04
    8.641005e+04    1.177350e-04
    9.126974e+04    1.127050e-04
    9.701987e+04    1.073230e-04
    1.014108e+05    1.035990e-04
    1.107760e+05    9.641160e-05
    1.204901e+05    9.002690e-05
    1.309170e+05    8.415450e-05
    1.413999e+05    7.905340e-05
    1.516598e+05    7.469560e-05
    1.611287e+05    7.113220e-05
    1.711992e+05    6.777210e-05
    1.823351e+05    6.449320e-05
    1.926806e+05    6.177970e-05
    2.014108e+05    5.971510e-05
    2.215519e+05    5.558660e-05
    2.409801e+05    5.229180e-05
    2.618341e+05    4.936710e-05
    2.819751e+05    4.700000e-05
    3.021162e+05    4.500110e-05
    3.222573e+05    4.330300e-05
    3.447968e+05    4.170300e-05
    3.646703e+05    4.049620e-05
    3.880795e+05    3.929180e-05
    4.113662e+05    3.827910e-05
    4.431038e+05    3.714190e-05
    4.697804e+05    3.639540e-05
    5.035271e+05    3.559990e-05
    5.538798e+05    3.474360e-05
    6.084649e+05    3.413460e-05
    6.638202e+05    3.375310e-05
    7.198908e+05    3.354230e-05
    8.000000e+05    3.344720e-05
    9.255739e+05    3.364240e-05
    1.072560e+06    3.410870e-05
    1.542623e+06    3.577930e-05
    1.851148e+06    3.659020e-05
    2.085849e+06    3.698630e-05
    2.359631e+06    3.725380e-05
    2.600000e+06    3.734500e-05
    3.085246e+06    3.720240e-05
    3.728412e+06    3.669550e-05
    6.214020e+06    3.413760e-05
    7.249690e+06    3.325330e-05
    8.741531e+06    3.218890e-05
    1.000000e+07    3.143750e-05
    1.014108e+07    3.136850e-05
    1.028415e+07    3.129860e-05
    1.042925e+07    3.122770e-05
    1.057638e+07    3.115570e-05
    1.072560e+07    3.108280e-05
    1.087692e+07    3.100880e-05
    1.103037e+07    3.093380e-05
    1.118599e+07    3.085770e-05
    1.134380e+07    3.078060e-05
    1.150384e+07    3.070240e-05
    1.166614e+07    3.062300e-05
    1.183073e+07    3.054260e-05
    1.199764e+07    3.046100e-05
    1.216691e+07    3.037820e-05
    1.233856e+07    3.029430e-05
    1.250000e+07    3.021540e-05
    1.267635e+07    3.014220e-05
    1.285519e+07    3.006800e-05
    1.303656e+07    2.999270e-05
    1.322048e+07    2.991640e-05
    1.340700e+07    2.983900e-05
    1.359614e+07    2.976040e-05
    1.378796e+07    2.968080e-05
    1.398249e+07    2.960010e-05
    1.417975e+07    2.951820e-05
    1.437980e+07    2.943520e-05
    1.458268e+07    2.935100e-05
    1.478841e+07    2.926560e-05
    1.499705e+07    2.917900e-05
    1.520863e+07    2.909120e-05
    1.542320e+07    2.900210e-05
    1.564079e+07    2.891180e-05
    1.586145e+07    2.882020e-05
    1.608523e+07    2.872740e-05
    1.631217e+07    2.863320e-05
    1.654230e+07    2.853770e-05
    1.677568e+07    2.844080e-05
    1.701236e+07    2.834260e-05
    1.725237e+07    2.824290e-05
    1.749577e+07    2.814190e-05
    1.774260e+07    2.803950e-05
    1.799292e+07    2.793560e-05
    1.824677e+07    2.783020e-05
    1.850420e+07    2.772340e-05
    1.876526e+07    2.761500e-05
    1.900000e+07    2.751760e-05
    1.926806e+07    2.740780e-05
    1.953989e+07    2.729640e-05
    1.981557e+07    2.718350e-05
    2.000000e+07    2.710790e-05
    2.000000e+07    2.551400e-05
    2.028216e+07    2.540480e-05
    2.056831e+07    2.529410e-05
    2.085849e+07    2.518180e-05
    2.115277e+07    2.506790e-05
    2.145119e+07    2.495240e-05
    2.175383e+07    2.483530e-05
