    energy(eV)      sigma_s(b)
    9.390625e+05    4.429502e+00
    9.437500e+05    4.672627e+00
    9.484375e+05    4.946264e+00
    9.531250e+05    5.251568e+00
    9.578125e+05    5.588001e+00
    9.625000e+05    5.952397e+00
    9.765625e+05    7.119269e+00
    9.824219e+05    7.556392e+00
    9.859375e+05    7.778826e+00
    9.894531e+05    7.952340e+00
    9.917969e+05    8.040686e+00
    9.941407e+05    8.103743e+00
    9.964843e+05    8.140346e+00
    9.976562e+05    8.151670e+00
    1.000703e+06    8.136886e+00
    1.003750e+06    8.087631e+00
    1.007500e+06    7.966579e+00
    1.011250e+06    7.793960e+00
    1.015000e+06    7.580960e+00
    1.018750e+06    7.339159e+00
    1.033750e+06    6.283970e+00
    1.039375e+06    5.904025e+00
    1.045000e+06    5.554656e+00
    1.050625e+06    5.240974e+00
    1.056250e+06    4.956373e+00
    1.061875e+06    4.705809e+00
    1.067500e+06    4.480478e+00
    1.073125e+06    4.283096e+00
    1.078750e+06    4.105711e+00
    1.082500e+06    3.999317e+00
    1.090000e+06    3.809698e+00
    1.097500e+06    3.646648e+00
    1.105000e+06    3.505764e+00
    1.112500e+06    3.383403e+00
    1.120000e+06    3.276601e+00
    1.128281e+06    3.173868e+00
    1.136562e+06    3.084583e+00
    1.144844e+06    3.006709e+00
    1.157266e+06    2.908902e+00
    1.169687e+06    2.827447e+00
    1.182109e+06    2.763808e+00
    1.194531e+06    2.713679e+00
    1.206953e+06    2.681266e+00
    1.215234e+06    2.669389e+00
    1.219375e+06    2.665757e+00
    1.227656e+06    2.669762e+00
    1.235937e+06    2.688688e+00
    1.242149e+06    2.716894e+00
    1.248359e+06    2.758910e+00
    1.252500e+06    2.798677e+00
    1.256641e+06    2.850009e+00
    1.260781e+06    2.915924e+00
    1.264922e+06    3.000384e+00
    1.268027e+06    3.079866e+00
    1.271133e+06    3.174040e+00
    1.273203e+06    3.248126e+00
    1.275273e+06    3.332242e+00
    1.277344e+06    3.427790e+00
    1.279414e+06    3.536343e+00
    1.281484e+06    3.659630e+00
    1.283555e+06    3.799516e+00
    1.285625e+06    3.957915e+00
    1.287695e+06    4.136676e+00
    1.289766e+06    4.337365e+00
    1.291836e+06    4.560919e+00
    1.293906e+06    4.807185e+00
    1.295977e+06    5.074321e+00
    1.302188e+06    5.938706e+00
    1.304258e+06    6.209046e+00
    1.306328e+06    6.442716e+00
    1.307881e+06    6.580816e+00
    1.309434e+06    6.683892e+00
    1.310986e+06    6.739714e+00
    1.312539e+06    6.753448e+00
    1.314092e+06    6.717067e+00
    1.315645e+06    6.641255e+00
    1.316680e+06    6.567683e+00
    1.318750e+06    6.377763e+00
    1.320820e+06    6.145393e+00
    1.324961e+06    5.620484e+00
    1.329102e+06    5.096552e+00
    1.331172e+06    4.854710e+00
    1.333242e+06    4.630492e+00
    1.335313e+06    4.424907e+00
    1.337383e+06    4.237819e+00
    1.339453e+06    4.068379e+00
    1.341523e+06    3.915351e+00
    1.343594e+06    3.777322e+00
    1.345664e+06    3.652850e+00
    1.347734e+06    3.540530e+00
    1.350840e+06    3.393016e+00
    1.353945e+06    3.263941e+00
    1.356016e+06    3.188302e+00
    1.360156e+06    3.056463e+00
    1.364297e+06    2.945978e+00
    1.368437e+06    2.852506e+00
    1.372578e+06    2.772655e+00
    1.376719e+06    2.703804e+00
    1.382930e+06    2.617592e+00
    1.385000e+06    2.591380e+00
    1.393281e+06    2.503552e+00
    1.401563e+06    2.432929e+00
    1.409844e+06    2.374716e+00
    1.422265e+06    2.304598e+00
    1.434688e+06    2.246806e+00
    1.451250e+06    2.185043e+00
    1.467812e+06    2.134293e+00
    1.484375e+06    2.091046e+00
    1.517500e+06    2.019163e+00
    1.550625e+06    1.959696e+00
    1.592031e+06    1.897725e+00
    1.616875e+06    1.870315e+00
    1.625156e+06    1.868677e+00
    1.629297e+06    1.872758e+00
    1.633438e+06    1.884718e+00
    1.635508e+06    1.896554e+00
    1.638095e+06    1.922689e+00
    1.639648e+06    1.948396e+00
    1.640684e+06    1.973349e+00
    1.641978e+06    2.018322e+00
    1.642754e+06    2.056133e+00
    1.643271e+06    2.088315e+00
    1.643789e+06    2.127812e+00
    1.644307e+06    2.176906e+00
    1.644954e+06    2.256373e+00
    1.645342e+06    2.317548e+00
    1.645730e+06    2.392611e+00
    1.646118e+06    2.485117e+00
    1.646377e+06    2.559527e+00
    1.646636e+06    2.646601e+00
    1.646895e+06    2.749246e+00
    1.647153e+06    2.870141e+00
    1.647347e+06    2.976107e+00
    1.647542e+06    3.098403e+00
    1.647736e+06    3.239047e+00
    1.647930e+06    3.402304e+00
    1.648124e+06    3.591489e+00
    1.648253e+06    3.734919e+00
    1.648383e+06    3.893922e+00
    1.648512e+06    4.070342e+00
    1.648642e+06    4.266272e+00
    1.648770e+06    4.483313e+00
    1.648900e+06    4.724051e+00
    1.649029e+06    4.990002e+00
    1.649159e+06    5.282651e+00
    1.649289e+06    5.602934e+00
    1.649418e+06    5.949715e+00
    1.649612e+06    6.516471e+00
    1.650046e+06    7.856447e+00
    1.650186e+06    8.242137e+00
    1.650278e+06    8.463128e+00
    1.650371e+06    8.649342e+00
    1.650464e+06    8.790937e+00
    1.650557e+06    8.882336e+00
    1.650649e+06    8.919258e+00
    1.650742e+06    8.900656e+00
    1.650835e+06    8.826886e+00
