    energy(eV)      sigma_s(b)
    1.369046e+07    7.025925e-01
    1.388361e+07    6.932139e-01
    1.400000e+07    6.875623e-01
    1.419751e+07    6.788072e-01
    1.439782e+07    6.699285e-01
    1.460094e+07    6.609246e-01
    1.480694e+07    6.517937e-01
    1.500000e+07    6.432359e-01
    1.521162e+07    6.348888e-01
    1.542623e+07    6.264239e-01
    1.564387e+07    6.178396e-01
    1.586457e+07    6.091342e-01
    1.600000e+07    6.037926e-01
    1.622573e+07    5.958223e-01
    1.645465e+07    5.877396e-01
    1.668679e+07    5.795428e-01
    1.692221e+07    5.712305e-01
    1.700000e+07    5.684839e-01
    1.723984e+07    5.608620e-01
    1.748306e+07    5.531325e-01
    1.772972e+07    5.452940e-01
    1.797985e+07    5.373449e-01
    1.800000e+07    5.367046e-01
    1.825395e+07    5.294050e-01
    1.851148e+07    5.220023e-01
    1.877264e+07    5.144952e-01
    1.900000e+07    5.079599e-01
    1.926806e+07    5.009585e-01
    1.953989e+07    4.938584e-01
    1.981557e+07    4.866580e-01
    2.000000e+07    4.818408e-01
    2.000000e+07    4.801005e-01
    2.028216e+07    4.729585e-01
    2.056831e+07    4.657157e-01
    2.085849e+07    4.583707e-01
    2.100000e+07    4.547889e-01
    2.129627e+07    4.483688e-01
    2.159672e+07    4.418581e-01
    2.190142e+07    4.352556e-01
    2.200000e+07    4.331193e-01
    2.231038e+07    4.274074e-01
    2.262514e+07    4.216149e-01
    2.294434e+07    4.157407e-01
    2.326804e+07    4.097837e-01
    2.349468e+07    4.056129e-01
    2.382615e+07    4.000576e-01
    2.416229e+07    3.944239e-01
    2.450318e+07    3.887108e-01
    2.484887e+07    3.829170e-01
    2.500000e+07    3.803842e-01
    2.535270e+07    3.749506e-01
    2.571039e+07    3.694403e-01
    2.607311e+07    3.638522e-01
    2.644096e+07    3.581854e-01
    2.649528e+07    3.573485e-01
    2.686908e+07    3.520978e-01
    2.724816e+07    3.467730e-01
    2.763258e+07    3.413732e-01
    2.800000e+07    3.362121e-01
    2.839503e+07    3.311247e-01
    2.879563e+07    3.259655e-01
    2.920189e+07    3.207336e-01
    2.949576e+07    3.169489e-01
    2.991189e+07    3.120392e-01
    3.033390e+07    3.070601e-01
    3.076185e+07    3.020109e-01
    3.098387e+07    2.993915e-01
    3.142099e+07    2.947487e-01
    3.186429e+07    2.900405e-01
    3.231383e+07    2.852658e-01
    3.276972e+07    2.804237e-01
    3.298484e+07    2.781389e-01
    3.345020e+07    2.737231e-01
    3.392212e+07    2.692450e-01
    3.440070e+07    2.647037e-01
    3.488604e+07    2.600983e-01
    3.498571e+07    2.591524e-01
    3.547930e+07    2.549373e-01
    3.597985e+07    2.506626e-01
    3.648746e+07    2.463276e-01
    3.698648e+07    2.420660e-01
    3.750830e+07    2.380486e-01
    3.803747e+07    2.339746e-01
    3.857411e+07    2.298432e-01
    3.898718e+07    2.266631e-01
    3.953722e+07    2.228648e-01
    4.009502e+07    2.190129e-01
    4.066068e+07    2.151067e-01
    4.098780e+07    2.128478e-01
    4.156607e+07    2.092772e-01
