    energy(eV)      sigma_t(b)
    1.369046e+07    7.026222e-01
    1.388361e+07    6.932435e-01
    1.400000e+07    6.875919e-01
    1.419751e+07    6.788367e-01
    1.439782e+07    6.699580e-01
    1.460094e+07    6.609540e-01
    1.480694e+07    6.518230e-01
    1.500000e+07    6.432651e-01
    1.521162e+07    6.349179e-01
    1.542623e+07    6.264529e-01
    1.564387e+07    6.178686e-01
    1.586457e+07    6.091631e-01
    1.600000e+07    6.038214e-01
    1.622573e+07    5.958510e-01
    1.645465e+07    5.877682e-01
    1.668679e+07    5.795714e-01
    1.692221e+07    5.712589e-01
    1.700000e+07    5.685123e-01
    1.723984e+07    5.608903e-01
    1.748306e+07    5.531607e-01
    1.772972e+07    5.453221e-01
    1.797985e+07    5.373729e-01
    1.800000e+07    5.367326e-01
    1.825395e+07    5.294328e-01
    1.851148e+07    5.220301e-01
    1.877264e+07    5.145229e-01
    1.900000e+07    5.079874e-01
    1.926806e+07    5.009859e-01
    1.953989e+07    4.938857e-01
    1.981557e+07    4.866852e-01
    2.000000e+07    4.818679e-01
    2.000000e+07    4.801260e-01
    2.028216e+07    4.729839e-01
    2.056831e+07    4.657410e-01
    2.085849e+07    4.583959e-01
    2.100000e+07    4.548140e-01
    2.129627e+07    4.483938e-01
    2.159672e+07    4.418830e-01
    2.190142e+07    4.352803e-01
    2.200000e+07    4.331440e-01
    2.231038e+07    4.274320e-01
    2.262514e+07    4.216395e-01
    2.294434e+07    4.157652e-01
    2.326804e+07    4.098080e-01
    2.349468e+07    4.056372e-01
    2.382615e+07    4.000818e-01
    2.416229e+07    3.944480e-01
    2.450318e+07    3.887347e-01
    2.484887e+07    3.829409e-01
    2.500000e+07    3.804080e-01
    2.535270e+07    3.749743e-01
    2.571039e+07    3.694639e-01
    2.607311e+07    3.638757e-01
    2.644096e+07    3.582088e-01
    2.649528e+07    3.573718e-01
    2.686908e+07    3.521210e-01
    2.724816e+07    3.467962e-01
    2.763258e+07    3.413962e-01
    2.800000e+07    3.362350e-01
    2.839503e+07    3.311475e-01
    2.879563e+07    3.259882e-01
    2.920189e+07    3.207561e-01
    2.949576e+07    3.169714e-01
    2.991189e+07    3.120615e-01
    3.033390e+07    3.070823e-01
    3.076185e+07    3.020330e-01
    3.098387e+07    2.994135e-01
    3.142099e+07    2.947706e-01
    3.186429e+07    2.900622e-01
    3.231383e+07    2.852874e-01
    3.276972e+07    2.804452e-01
    3.298484e+07    2.781603e-01
    3.345020e+07    2.737444e-01
    3.392212e+07    2.692661e-01
    3.440070e+07    2.647247e-01
    3.488604e+07    2.601192e-01
    3.498571e+07    2.591733e-01
    3.547930e+07    2.549580e-01
    3.597985e+07    2.506832e-01
    3.648746e+07    2.463481e-01
    3.698648e+07    2.420863e-01
    3.750830e+07    2.380689e-01
    3.803747e+07    2.339948e-01
    3.857411e+07    2.298632e-01
    3.898718e+07    2.266830e-01
    3.953722e+07    2.228846e-01
    4.009502e+07    2.190326e-01
    4.066068e+07    2.151263e-01
    4.098780e+07    2.128673e-01
    4.156607e+07    2.092966e-01
    4.215249e+07    2.056755e-01
    4.274719e+07    2.020034e-01
    4.298837e+07    2.005141e-01
    4.359486e+07    1.971683e-01
    4.420990e+07    1.937752e-01
    4.483363e+07    1.903343e-01
    4.498889e+07    1.894778e-01
    4.562360e+07    1.863474e-01
    4.626727e+07    1.831728e-01
    4.692001e+07    1.799535e-01
    4.698936e+07    1.796115e-01
    4.765230e+07    1.766815e-01
    4.832458e+07    1.737102e-01
    4.898979e+07    1.707702e-01
    4.968095e+07    1.680190e-01
    5.038186e+07    1.652290e-01
    5.099020e+07    1.628075e-01
    5.170958e+07    1.602073e-01
    5.243910e+07    1.575705e-01
    5.299057e+07    1.555772e-01
    5.373817e+07    1.531416e-01
    5.449632e+07    1.506717e-01
    5.526516e+07    1.481670e-01
    5.600000e+07    1.457730e-01
    5.679006e+07    1.434450e-01
    5.759126e+07    1.410843e-01
    5.840377e+07    1.386902e-01
    5.899152e+07    1.369583e-01
    5.982379e+07    1.347396e-01
    6.066780e+07    1.324895e-01
    6.152371e+07    1.302078e-01
    6.200000e+07    1.289380e-01
    6.287471e+07    1.268292e-01
    6.376176e+07    1.246907e-01
    6.466132e+07    1.225219e-01
    6.499231e+07    1.217240e-01
    6.590923e+07    1.197305e-01
    6.683909e+07    1.177089e-01
    6.778207e+07    1.156588e-01
    6.800000e+07    1.151850e-01
    6.895936e+07    1.133091e-01
    6.993225e+07    1.114068e-01
    7.091887e+07    1.094776e-01
    7.099296e+07    1.093328e-01
    7.199454e+07    1.075692e-01
    7.301025e+07    1.057807e-01
    7.400000e+07    1.040380e-01
    7.504401e+07    1.023884e-01
    7.610274e+07    1.007155e-01
    7.699351e+07    9.930798e-02
    7.807975e+07    9.778647e-02
    7.918131e+07    9.624349e-02
    8.029842e+07    9.467875e-02
    8.099383e+07    9.370468e-02
    8.213650e+07    9.230381e-02
    8.329530e+07    9.088317e-02
    8.447045e+07    8.944250e-02
    8.499412e+07    8.880050e-02
    8.619323e+07    8.749773e-02
    8.740926e+07    8.617659e-02
    8.864245e+07    8.483680e-02
    8.899438e+07    8.445444e-02
    9.024993e+07    8.323445e-02
    9.152320e+07    8.199725e-02
    9.281442e+07    8.074260e-02
    9.400000e+07    7.959060e-02
    9.532617e+07    7.843555e-02
    9.667105e+07    7.726420e-02
    9.803491e+07    7.607633e-02
    9.899495e+07    7.524017e-02
    1.003916e+08    7.417361e-02
    1.018079e+08    7.309200e-02
    1.024114e+08    7.263118e-02
    1.038562e+08    7.163234e-02
    1.053214e+08    7.061940e-02
    1.068073e+08    6.959216e-02
    1.074099e+08    6.917556e-02
    1.089253e+08    6.822223e-02
    1.104621e+08    6.725546e-02
    1.120205e+08    6.627504e-02
    1.124190e+08    6.602430e-02
    1.140051e+08    6.513233e-02
    1.156135e+08    6.422777e-02
    1.172446e+08    6.331045e-02
    1.188987e+08    6.238018e-02
    1.200000e+08    6.176080e-02
    1.216930e+08    6.105840e-02
    1.234099e+08    6.034608e-02
    1.251509e+08    5.962372e-02
    1.269166e+08    5.889117e-02
    1.274245e+08    5.868046e-02
    1.292222e+08    5.801125e-02
    1.310453e+08    5.733260e-02
    1.328941e+08    5.664437e-02
