Energy,Density
0.0741003243685032,0.16252060212922073
0.2295354123566526,0.1525916907451204
0.4233551707404288,0.13665317510222255
0.6434085510688838,0.1214985208843853
0.8762099966796928,0.10399228239136629
1.0842176844686238,0.09641495528244762
1.291768829974715,0.08544089533159997
1.501918754629275,0.09380208386557917
1.7128764079380896,0.10817287665835588
1.9345101269379108,0.10477614381642682
2.14416839067249,0.10947931236679016
2.3533701121242303,0.11078574807522444
2.592949454703344,0.14370792792776746
2.8060142262406464,0.17375594922175527
3.0158832017980752,0.18002684062223967
3.2364282430465106,0.16853020638801827
3.4297914591474474,0.14919495790319143
3.65146029678441,0.14605951220294913
3.858519781370521,0.13142743226848555
4.094797972058336,0.13978862080246474
4.305860981278574,0.15494327502030208
4.50108548514801,0.14945624504487823
4.711867545271117,0.16252060212922073
4.945055295890482,0.14788852219475718
5.165178913493218,0.13325644226029346
5.371465788062217,0.11287604520871922
5.578735984471177,0.09981168812437669
5.78628712997727,0.08883762817352894
5.994926953234748,0.08596346961497361
6.205744131994996,0.09928911384100303
6.439493780808624,0.08883762817352894
6.660284652517049,0.07917000393111548
6.961110898270887,0.08178287534798402
7.289013613260797,0.0914504995903975
7.510822925446327,0.0893602024569027
7.731964983526169,0.08230544963135768
7.952404668863178,0.07002495397207575
8.158340357060762,0.04703168550363297
8.352230352718824,0.03161574414410885
8.572810512604399,0.02038039705157424
8.768456440119532,0.018028812776392664
9.003681071693102,0.018551387059766316
9.226543942992874,0.024299704176876963
9.43634268127602,0.030048021293987707
9.64494738589636,0.02691257559374551
9.84038260158864,0.022993268468442785
10.0748346231451,0.01776752563470579
10.309321763338698,0.012803069942655568
10.491411896917224,0.006793465683858048
10.686636400786655,0.0013064357084341762
10.882422802850355,0.0
