Energy(eV),lambda(m)
1e-05,0.00012305276673403156
1.103037e-05,0.00012923457521518306
1.103037e-05,0.00012923457521518306
1.216691e-05,0.00013572665209088055
1.216691e-05,0.00013572665209088055
1.342055e-05,0.00014254472876824506
1.480336e-05,0.00014970481309777844
1.480336e-05,0.00014970481309777844
1.632865e-05,0.00015722423985043243
1.632865e-05,0.00015722423985043243
1.801111e-05,0.00016512091938165646
1.986691e-05,0.00017341368198994661
1.986691e-05,0.00017341368198994661
2.191394e-05,0.00018212233118542072
2.417189e-05,0.00019126764978536447
2.417189e-05,0.00019126764978536447
2.666248e-05,0.0002008714125466785
2.666248e-05,0.0002008714125466785
2.940971e-05,0.00021095643510597392
3.243999e-05,0.0002215467470305633
3.243999e-05,0.0002215467470305633
3.578251e-05,0.00023266746483890108
3.578251e-05,0.00023266746483890108
3.946943e-05,0.0002443449724572025
4.353624e-05,0.00025660690878823064
4.353624e-05,0.00025660690878823064
4.802208e-05,0.0002694822887909933
5.297013e-05,0.0002830014183476392
5.297013e-05,0.0002830014183476392
5.842801e-05,0.0002971962354027254
5.842801e-05,0.0002971962354027254
6.444825e-05,0.00031210004621352416
7.108881e-05,0.00032774781455668575
7.108881e-05,0.00032774781455668575
7.841358e-05,0.00034417610577477996
7.841358e-05,0.00034417610577477996
8.649308e-05,0.000361423250433587
9.540506e-05,0.0003795293476119445
9.540506e-05,0.0003795293476119445
0.0001052353,0.00039853638600388007
0.0001052353,0.00039853638600388007
0.0001160784,0.0004184879813929078
0.0001280388,0.000439464592723862
0.0001280388,0.000439464592723862
0.0001412315,0.0004614823379710934
0.0001557836,0.00048402024294786147
0.0001557836,0.00048459207840993387
0.0001718351,0.0005082494971917302
0.0001718351,0.0005088454644622695
0.0001895404,0.0005342978560633847
0.0002090701,0.0005603582427323237
0.0002090701,0.0005610053664264894
0.000230612,0.0005883533552733118
0.000230612,0.0005890275123720934
0.0002543736,0.0006177243827955312
0.0002805835,0.0006485342095324225
0.0002805835,0.0006492638979893343
0.0003094939,0.0006808501858607004
0.0003094939,0.0006816082288827676
0.0003413832,0.0007147400949399097
0.0003765583,0.0007502756437703603
0.0003765583,0.0007502756437703603
0.0004153577,0.000787530065732394
0.0004581549,0.0008265794319526438
