Energy,Density
0.109515019344802,0.00032609699605357523
0.1932787955310756,0.007826327905285688
0.4249026832764742,0.014674364822410671
0.6347921959350487,0.020544110751374932
0.8529450489853742,0.022826789723749935
1.0624678308940432,0.025761662688232063
1.2839633628810725,0.027718244664553467
1.4939707865342071,0.030000923636928516
1.6992730039047452,0.036848960554053456
1.9037296026517776,0.04630577343960699
2.1490021109951623,0.05250161636462488
2.353480077576553,0.05739307130542841
2.5579658187147425,0.0665237871949284
2.80135676119887,0.08935057691867837
2.9989807922064715,0.12196027652403543
3.210546374027111,0.1356563503582854
3.411102241997313,0.12946050743326756
3.6517412725483807,0.12750392545694614
3.850581463177164,0.12587344047667828
4.091118934862644,0.1248951494885176
4.249026832764747,0.13924341731487466
4.514454322418137,0.15554826711755323
4.724350443201306,0.1646789830070532
5.057633654897071,0.17837505684130314
5.373573058775191,0.15946143107019606
5.58098077276359,0.14772193921226753
5.796393953384979,0.13630854435039255
5.974695679970713,0.11869930656349975
6.205305361686218,0.1252212464845711
6.444816053285652,0.14217829027935683
6.643063763684497,0.13859122332276755
6.8474097326455,0.12750392545694614
7.058041547492678,0.129134410437214
7.275152565886609,0.13924341731487466
7.442357472971677,0.15293949114912464
7.671290357446213,0.16174411004257108
7.96738473989457,0.1526133941530711
8.150499226234249,0.12750392545694614
8.401215118953141,0.09228544988316048
8.594300333406663,0.060654041265964166
8.725482939170341,0.04271870648301774
8.926020804308367,0.0355445725698392
9.200592362719965,0.04010993051458918
9.41204967268068,0.054458198340946284
9.62836690819544,0.0655454962067677
9.849655764983774,0.061958429250178415
10.076030505869133,0.051197228380410575
10.30760801977862,0.04369699747117844
10.62467830894042,0.033587990593517775
10.786852416418386,0.019565819763214205
10.86886540101395,0.004891454940803533
11.11866464756422,0.00032609699605357523
