Energy, Flux
0.07410032436850322, 0.16720430107526882
0.22953541235665265, 0.15698924731182795
0.42335517074042883, 0.14059139784946234
0.6434085510688838, 0.125
0.8762099966796928, 0.10698924731182795
1.0842176844686238, 0.09919354838709676
1.291768829974715, 0.0879032258064516
1.501918754629275, 0.09650537634408601
1.7128764079380896, 0.11129032258064517
1.9345101269379108, 0.10779569892473118
2.14416839067249, 0.11263440860215054
2.3533701121242303, 0.11397849462365592
2.592949454703344, 0.14784946236559138
2.8060142262406464, 0.17876344086021506
3.0158832017980752, 0.18521505376344086
3.2364282430465106, 0.17338709677419356
3.4297914591474474, 0.153494623655914
3.65146029678441, 0.15026881720430108
3.858519781370521, 0.13521505376344084
4.094797972058336, 0.14381720430107525
4.305860981278574, 0.15940860215053762
4.50108548514801, 0.15376344086021504
4.711867545271117, 0.16720430107526882
4.945055295890482, 0.1521505376344086
5.165178913493218, 0.13709677419354838
5.371465788062217, 0.11612903225806452
5.578735984471177, 0.10268817204301074
5.78628712997727, 0.09139784946236558
5.994926953234748, 0.08844086021505376
6.2057441319949955, 0.1021505376344086
6.439493780808624, 0.09139784946236558
6.660284652517049, 0.08145161290322578
6.961110898270887, 0.08413978494623653
7.289013613260797, 0.09408602150537634
7.510822925446327, 0.09193548387096774
7.731964983526169, 0.08467741935483869
7.952404668863178, 0.07204301075268818
8.158340357060762, 0.04838709677419356
8.352230352718824, 0.03252688172043011
8.572810512604399, 0.02096774193548387
8.768456440119532, 0.0185483870967742
9.003681071693102, 0.019086021505376333
9.226543942992874, 0.024999999999999994
9.43634268127602, 0.030913978494623656
9.644947385896359, 0.027688172043010745
9.84038260158864, 0.02365591397849462
10.0748346231451, 0.01827956989247312
10.309321763338698, 0.013172043010752699
10.491411896917224, 0.006989247311827956
10.686636400786657, 0.0013440860215053474
10.882422802850357, 0
