    energy(eV)      sigma_a(b)
    9.986107e+03    1.194320e-05
    1.202906e+04    1.295180e-05
    1.439972e+04    1.404600e-05
    1.719613e+04    1.540980e-05
    2.014108e+04    1.674960e-05
    2.437446e+04    1.838570e-05
    2.895504e+04    2.000360e-05
    3.459116e+04    2.183770e-05
    4.136652e+04    2.385640e-05
    4.918703e+04    2.599360e-05
    5.908047e+04    2.846660e-05
    7.084003e+04    3.116770e-05
    8.333651e+04    3.380840e-05
    1.002725e+05    3.711970e-05
    1.230191e+05    4.117890e-05
    1.594047e+05    4.724870e-05
    2.154283e+05    5.632330e-05
    2.370505e+05    6.014530e-05
    2.550405e+05    6.376420e-05
    2.694313e+05    6.710280e-05
    2.804041e+05    6.999200e-05
    2.911200e+05    7.327680e-05
    3.011300e+05    7.685020e-05
    3.096867e+05    8.037330e-05
    3.175642e+05    8.418180e-05
    3.240000e+05    8.780850e-05
    3.304242e+05    9.201670e-05
    3.361442e+05    9.637260e-05
    3.411500e+05    1.007640e-04
    3.459630e+05    1.056500e-04
    3.504343e+05    1.108310e-04
    3.547243e+05    1.165590e-04
    3.583000e+05    1.219830e-04
    3.618643e+05    1.281440e-04
    3.654400e+05    1.351380e-04
    3.683000e+05    1.414630e-04
    3.711600e+05    1.485360e-04
    3.740200e+05    1.564890e-04
    3.768800e+05    1.654820e-04
    3.797300e+05    1.755620e-04
    3.818743e+05    1.841230e-04
    3.840200e+05    1.935330e-04
    3.861643e+05    2.039340e-04
    3.883100e+05    2.154030e-04
    3.904543e+05    2.282910e-04
    3.926000e+05    2.425690e-04
    3.940300e+05    2.529590e-04
    3.961644e+05    2.701220e-04
    3.975944e+05    2.827030e-04
    3.997400e+05    3.033130e-04
    4.011700e+05    3.184910e-04
    4.033144e+05    3.435430e-04
    4.047444e+05    3.618050e-04
    4.061744e+05    3.814690e-04
    4.076044e+05    4.026350e-04
    4.097500e+05    4.372520e-04
    4.118944e+05    4.754290e-04
    4.140300e+05    5.170700e-04
    4.161744e+05    5.618210e-04
    4.226100e+05    7.049740e-04
    4.240400e+05    7.350410e-04
    4.254700e+05    7.627040e-04
    4.269000e+05    7.870670e-04
    4.283300e+05    8.072320e-04
    4.297600e+05    8.223970e-04
    4.311800e+05    8.318640e-04
    4.326100e+05    8.352350e-04
    4.340400e+05    8.324080e-04
    4.354700e+05    8.234840e-04
    4.369000e+05    8.088640e-04
    4.383300e+05    7.893430e-04
    4.397600e+05    7.656240e-04
    4.411900e+05    7.386960e-04
    4.440500e+05    6.786580e-04
    4.490444e+05    5.695410e-04
    4.511900e+05    5.257440e-04
    4.533344e+05    4.848760e-04
    4.554800e+05    4.473570e-04
    4.576244e+05    4.134190e-04
    4.597700e+05    3.826640e-04
    4.619144e+05    3.552040e-04
    4.633444e+05    3.384320e-04
    4.654800e+05    3.155340e-04
    4.676245e+05    2.951620e-04
    4.697700e+05    2.768350e-04
    4.719145e+05    2.604840e-04
    4.740600e+05    2.458350e-04
    4.762045e+05    2.326980e-04
    4.783500e+05    2.208360e-04
    4.804945e+05    2.102090e-04
