eV	Coeff1	Coeff2	Coeff3	Coeff4	Coeff5	Coeff6
100000.0	-0.0001022505	-2.472465e-08	-9.70327e-11	-2.31553e-14	4.04868e-14	-2.62146e-14
110000.0	-0.0001111495	-3.331078e-08	-1.31554e-10	-1.33051e-14	4.40083e-14	-2.85057e-14
120000.0	-0.0001198464	-4.358478e-08	-1.73834e-10	1.81491e-15	4.74578e-14	-3.07288e-14
130000.0	-0.0001283496	-5.566809e-08	-2.24788e-10	2.3453e-14	5.08149e-14	-3.28943e-14
140000.0	-0.0001366672	-6.967613e-08	-2.85357e-10	5.29696e-14	5.40996e-14	-3.50124e-14
150000.0	-0.0001448067	-8.571871e-08	-3.56506e-10	9.1919e-14	5.72977e-14	-3.70889e-14
160000.0	-0.0001527756	-1.039003e-07	-4.39226e-10	1.42079e-13	6.04493e-14	-3.91015e-14
170000.0	-0.000160581	-1.243201e-07	-5.34528e-10	2.05327e-13	6.35257e-14	-4.1094e-14
180000.0	-0.0001682296	-1.470727e-07	-6.43445e-10	2.83822e-13	6.65596e-14	-4.3024e-14
190000.0	-0.0001757278	-1.722479e-07	-7.6703e-10	3.7985e-13	6.95286e-14	-4.49126e-14
200000.0	-0.000183082	-1.999313e-07	-9.06354e-10	4.96011e-13	7.24668e-14	-4.67556e-14
220000.0	-0.0001973816	-2.631439e-07	-1.236595e-09	7.99758e-13	7.82016e-14	-5.03458e-14
240000.0	-0.0002111735	-3.373146e-07	-1.643075e-09	1.21966e-12	8.3797e-14	-5.37851e-14
260000.0	-0.000224499	-4.229897e-07	-2.134942e-09	1.78404e-12	8.93639e-14	-5.70931e-14
280000.0	-0.0002373966	-5.206634e-07	-2.721555e-09	2.52502e-12	9.48876e-14	-6.02762e-14
300000.0	-0.0002499016	-6.307819e-07	-3.41246e-09	3.47882e-12	1.00489e-13	-6.33224e-14
320000.0	-0.0002620469	-7.537477e-07	-4.217375e-09	4.68587e-12	1.06214e-13	-6.62852e-14
340000.0	-0.000273863	-8.899236e-07	-5.146165e-09	6.19084e-12	1.12159e-13	-6.91361e-14
360000.0	-0.000285378	-1.039636e-06	-6.208828e-09	8.043e-12	1.18442e-13	-7.18778e-14
380000.0	-0.0002966183	-1.203178e-06	-7.415482e-09	1.02962e-11	1.25174e-13	-7.45254e-14
400000.0	-0.0003076081	-1.380812e-06	-8.776345e-09	1.3009e-11	1.32454e-13	-7.70889e-14
420000.0	-0.0003183702	-1.572772e-06	-1.030173e-08	1.62449e-11	1.40501e-13	-7.95733e-14
440000.0	-0.0003289258	-1.779266e-06	-1.200203e-08	2.00725e-11	1.49399e-13	-8.19664e-14
460000.0	-0.0003392946	-2.000479e-06	-1.388771e-08	2.45654e-11	1.59389e-13	-8.42941e-14
480000.0	-0.0003494949	-2.236572e-06	-1.596929e-08	2.98026e-11	1.70661e-13	-8.6542e-14
500000.0	-0.000359544	-2.487689e-06	-1.825734e-08	3.58684e-11	1.83457e-13	-8.87292e-14
550000.0	-0.0003841076	-3.181972e-06	-2.495062e-08	5.5261e-11	2.23787e-13	-9.38422e-14
600000.0	-0.0004080469	-3.972346e-06	-3.316775e-08	8.19679e-11	2.79972e-13	-9.85255e-14
650000.0	-0.0004315517	-4.859717e-06	-4.307654e-08	1.17777e-10	3.57923e-13	-1.02759e-13
700000.0	-0.0004547834	-5.844524e-06	-5.484526e-08	1.64717e-10	4.64886e-13	-1.06422e-13
750000.0	-0.0004778799	-6.926807e-06	-6.864221e-08	2.25063e-10	6.0967e-13	-1.09479e-13
800000.0	-0.0005009592	-8.106276e-06	-8.463549e-08	3.01353e-10	8.02695e-13	-1.11759e-13
850000.0	-0.0005241224	-9.382358e-06	-1.029927e-07	3.96388e-10	1.05638e-12	-1.13095e-13
900000.0	-0.0005474563	-1.075425e-05	-1.238806e-07	5.13248e-10	1.38518e-12	-1.13248e-13
